block_length,seed,test,memory_events,alternative,status,error,statistic,p_value,reject_at_alpha,alpha,n_resamples,n_randomized_units,n_focal_events,randomization_seed,elapsed_seconds
1000,1016,total_effect_crt,5000,greater,ok,,0.6467599858436733,0.44177911044477763,False,0.05,2000,4,4000,414258059,0.009142599999904633
1000,1017,anticipation_pirt,-1,greater,ok,,-0.0018505212422586655,0.20189905047476261,False,0.05,2000,499,2000,4015395676,0.02585840001120232
1000,1017,carryover_crt,0,two-sided,ok,,0.24470895494118342,0.41879060469765117,False,0.05,2000,250,250000,2862543018,0.028278299985686317
1000,1017,carryover_crt,1000,two-sided,ok,,-0.4559367900187372,0.2983508245877061,False,0.05,2000,125,125000,1937468458,0.02118120001978241
1000,1017,carryover_crt,2500,two-sided,ok,,0.04023893996881072,0.9365317341329336,False,0.05,2000,83,43500,1955852634,0.013218300009611994
1000,1017,carryover_crt,5000,two-sided,ok,,-0.43757218383216284,0.5667166416791605,False,0.05,2000,41,41000,2820453851,0.011131000006571412
1000,1017,carryover_crt,10000,two-sided,ok,,-1.9555690465699878,0.059470264867566215,False,0.05,2000,22,22000,2527325979,0.009206600021570921
1000,1017,total_effect_crt,5000,greater,ok,,-2.542819938212633,1.0,False,0.05,2000,1,1000,2428445118,0.008438900025794283
1000,1018,anticipation_pirt,-1,greater,ok,,0.002624013679566796,0.7131434282858571,False,0.05,2000,499,2000,1747860373,0.026299299992388114
1000,1018,carryover_crt,0,two-sided,ok,,0.3949691111548095,0.16741629185407297,False,0.05,2000,250,250000,343447496,0.027115699980640784
1000,1018,carryover_crt,1000,two-sided,ok,,-0.2683596737793982,0.5222388805597201,False,0.05,2000,125,125000,911489302,0.018677899992326275
1000,1018,carryover_crt,2500,two-sided,ok,,-0.9448004603175155,0.059470264867566215,False,0.05,2000,83,43500,3450219527,0.01494799999636598
1000,1018,carryover_crt,5000,two-sided,ok,,-0.0918258510933417,0.8850574712643678,False,0.05,2000,41,41000,1479367803,0.010971700015943497
1000,1018,carryover_crt,10000,two-sided,ok,,0.49752726316333484,0.6256871564217891,False,0.05,2000,22,22000,2907635439,0.009298399992985651
1000,1018,total_effect_crt,5000,greater,ok,,-3.7691199193000795,1.0,False,0.05,2000,1,1000,2613973696,0.009048499981872737
1000,1019,anticipation_pirt,-1,greater,ok,,0.0032228484376418333,0.8830584707646177,False,0.05,2000,499,2000,3499189444,0.027056199993239716
1000,1019,carryover_crt,0,two-sided,ok,,0.621775105674207,0.033483258370814596,True,0.05,2000,250,250000,4218754567,0.0265711999963969
1000,1019,carryover_crt,1000,two-sided,ok,,-0.26555439414289606,0.5492253873063468,False,0.05,2000,125,125000,3362286756,0.023009800002910197
1000,1019,carryover_crt,2500,two-sided,ok,,0.2231146936491311,0.68015992003998,False,0.05,2000,83,43500,3086858626,0.014216999989002943
1000,1019,carryover_crt,5000,two-sided,ok,,0.07278438613273022,0.9300349825087456,False,0.05,2000,41,41000,3710423001,0.011650400003418326
1000,1019,carryover_crt,10000,two-sided,ok,,0.3557309012494304,0.7316341829085458,False,0.05,2000,22,22000,2583151200,0.010537400026805699
